Title,Company,Salary,Location,Job Requirements,Date Posted,Industry,Field,Experience,Education,Age,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Marital Status,Work Date,Work Type,Keyword
Senior Australian Accountant,Navigos Search,Thương lượng,"District 2, Ho Chi Minh City, HCMC","• Bachelor's degree in Accounting, Finance, or related field.
• Minimum of 03 years (Middle level), 5 years (Senior level) of experience in Australian tax accounting.
• Thorough knowledge of Australian tax laws, regulations, and compliance requirements.
• Strong analytical skills and attention to detail, with the ability to interpret complex tax legislation.
• Excellent communication and interpersonal skills, with the ability to build rapport with clients and internal stakeholders.
• Proven track record of managing client relationships and delivering high-quality service.
• Ability to work independently and as part of a team, managing multiple priorities and deadlines effectively.
• Proficiency in accounting software (Xero, MYOB, QuickBooks) and Microsoft Office (Word, Excel)",14/05/2025,Kế Toán/Kiểm Toán > Kế Toán Thuế,Tài Chính,3,Cử nhân,Không hiển thị,1,08:00 - 17:00,Nhân viên,"Accounting Software Proficiency, Analytical Skills, Australian Tax, Communication Skills, Tax Knowledge",Tiếng Anh,Không giới hạn,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Thuế, Tài Chính, Accounting Software Proficiency, Analytical Skills, Australian Tax, Communication Skills, Tax Knowledge, Navigos Search, Hồ Chí Minh"
Quản Lý Vận Chuyển (Transport Manager),Công Ty TNHH Cea Projects,Thương lượng,"32 Street 33, Quarter 5, An Phu Ward, Thu Duc City, 32 Đường Số 33, Khu Phố 5, An Phú, Quận 2, Hồ Chí Minh, Việt Nam","- Nam, độ tuổi 30 – 55, sức khỏe tốt.
- Tốt nghiệp chuyên ngành Vận tải, Logistics, Kỹ thuật liên quan.
- Tối thiểu 5 năm kinh nghiệm ở vị trí Quản lý Vận tải (ưu tiên lĩnh vực siêu trường siêu trọng, điện gió).
- Kỹ năng lập kế hoạch, tổ chức, điều phối nhân sự.
- Tư duy linh hoạt, xử lý vấn đề nhanh chóng, quyết đoán.
- Am hiểu pháp lý vận tải, kỹ thuật vận hành đầu kéo, moóc siêu trọng
- Ưu tiên biết sử dụng công cụ để lên bản vẽ vận chuyển, đọc hiểu bản vẽ vận chuyển.
BENEFIT:
- Lương + KPI Thưởng dự án
- Được tham gia các dự án vận chuyển lớn, đa quốc gia",14/05/2025,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi > Vận Tải/Giao Nhận Hàng Hóa,Hậu cần/Giao nhận,5,Không giới hạn,25-60,1,09:00 - 18:00,Trưởng phòng,"Quản lý và phát triển đội ngũ, Quản Lý Vận Tải, Quản lý đội xe, Quản lý đội xe, Vận Chuyển, Vận Tải",Tiếng Anh,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Vận Tải/Giao Nhận Hàng Hóa, Hậu cần/Giao nhận, Quản lý và phát triển đội ngũ, Quản Lý Vận Tải, Quản lý đội xe, Quản lý đội xe, Vận Chuyển, Vận Tải, Công Ty TNHH Cea Projects, Hồ Chí Minh"
Trình Dược Viên Kênh Bệnh Viện (ETC) - Ngành Hàng Dinh Dưỡng - Khu Vực Hồ Chí Minh,Abbott,Thương lượng,"Me Linh Point, 2 Ngo Duc Ke, Ben Nghe Ward, 02 Ngo Duc Ke, Dist. 1, HCM","- Ưu tiên có từ 2 năm kinh nghiệm Trình Dược Viên hoặc trong lĩnh vực chăm sóc sức khỏe

- Tốt nghiệp Đại học ngành Y/ Dược

- Kỹ năng bán hàng, thuyết phục khách hàng

- Kỹ năng giao tiếp

- Kỹ năng quản lý công việc, làm việc nhóm",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Dịch vụ Y tế/Chăm sóc sức khỏe,2,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Sales, Quản Lý ETC, Healthcare, Dược Phẩm, Bán Hàng",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Dịch vụ Y tế/Chăm sóc sức khỏe, Sales, Quản Lý ETC, Healthcare, Dược Phẩm, Bán Hàng, Abbott, Hồ Chí Minh"
Chuyên Viên Thiết Kế - Graphic Designer 2D,CÔNG TY Nhôm Maxpro.jp – Japan Aluminium,14tr-17tr ₫/tháng,"Quận 12, TP.HCM, 1350/1 Quốc Lộ 1A, Phường Thới An, Quận 12, TP.Hồ Chí Minh.","1. Học vấn, kiến thức:
o Học vấn: Đã tốt nghiệp Cao Đẳng, Đại học trở lên.
o Hoặc có văn bằng hoặc chứng chỉ khác liên quan đến chuyên ngành Thiết kế hoặc các chuyên ngành khác có liên quan.
o Đã có kinh nghiệm từ 2 năm trở lên.
o Có khả năng chụp ảnh, quay dựng
o Có khả năng thiết kế 3D là lợi thế.
2. Kỹ năng:
o Thành thạo các phần mềm Photoshop, Illustrator, InDesign hoặc các phần mềm thế mạnh phục vụ cho công việc.
o Với ứng viên có năng lực thiết kế 3D cần thành thạo các phần mềm liên quan và kỹ năng render.
o Khả năng mỹ thuật tốt, tính năng động, sáng tạo, chủ động trong công việc.
o Khả năng đọc nội dung tốt, chi tiết, kỹ lưỡng, tự kiểm tra chính tả và nắm bắt ý chính của nội dung để lên ý tưởng thiết kế.
o Có tư duy và kiến thức sản xuất thiết kế hình ảnh marketing, và xây dựng nội dung trên các nền tảng như Facebook, Zalo, website,…
o Có nhiều ý tưởng sáng tạo, độc đáo nhưng thực tế, có thể áp dụng tốt.
o Trung thực, chịu khó, luôn sẵn sàng cho công việc, tác phong nhanh nhẹn, biết sắp xếp và điều phối công việc linh hoạt.
✅ Thời gian làm việc:
• Làm việc từ Thứ 2 – Thứ 7 từ 8h00 đến 17h00.
✅ Quyền lợi:
• Thời gian thử việc 2 tháng (Lương thử việc 9-13 triệu).
• Mức lương cơ bản từ 14 - 17 triệu/tháng.
• Được hỗ trợ các nền tảng công cụ.
• Được tham gia chế độ BHXH.
• Ăn trưa tại công ty.
• Chế độ đi du lịch, teambuilding cùng với Công Ty.",14/05/2025,Thiết Kế > Thiết Kế Đồ Họa,Sản xuất,2,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Thiết Kế 2D, Thiết Kế 3D, Indesign, Photoshop, Illustrator",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Thiết Kế, Thiết Kế Đồ Họa, Sản xuất, Thiết Kế 2D, Thiết Kế 3D, Indesign, Photoshop, Illustrator, CÔNG TY Nhôm Maxpro.jp – Japan Aluminium, Hồ Chí Minh"
Trình Dược Viên Kênh Bệnh Viện (ETC) - Ngành Hàng Dinh Dưỡng - Khu Vực Hà Nội,Abbott,Thương lượng,"Hanoi, Vietnam, 02 Ngo Duc Ke, Dist. 1, HCM","- Ưu tiên có từ 2 năm kinh nghiệm Trình Dược Viên hoặc trong lĩnh vực chăm sóc sức khỏe

- Tốt nghiệp Đại học ngành Y/ Dược

- Kỹ năng bán hàng, thuyết phục khách hàng

- Kỹ năng giao tiếp

- Kỹ năng quản lý công việc, làm việc nhóm",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Dịch vụ Y tế/Chăm sóc sức khỏe,Không yêu cầu,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Sales, Quản Lý ETC, Kinh Doanh, Dược, Bán Hàng",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Dịch vụ Y tế/Chăm sóc sức khỏe, Sales, Quản Lý ETC, Kinh Doanh, Dược, Bán Hàng, Abbott, Hà Nội"
Quản Lý Dự Án (Transport Manager),Công Ty TNHH Cea Projects,Thương lượng,"32 Street 33, Quarter 5, An Phu Ward, Thu Duc City, 32 Đường Số 33, Khu Phố 5, An Phú, Quận 2, Hồ Chí Minh, Việt Nam","- Tốt nghiệp đại học các ngành: Logistics, Vận tải, Quản lý Dự án, Kỹ thuật.
- Sử dụng thành thạo máy vi tính, outlook mail, word, excel
- Có 5 năm kinh nghiệm quản lý dự án vận chuyển siêu trường siêu trọng.
- Kỹ năng đọc hiểu giấy phép vận chuyển
- Am hiểu quy trình vận hành, pháp lý vận tải siêu trường siêu trọng.
- Kỹ năng lập kế hoạch, tổ chức, điều phối đội nhóm tốt.
- Tác phong chuyên nghiệp, giao tiếp tiếng Anh khá tốt.
- Sức khỏe tốt, sẵn sàng đi công tác tại hiện trường

BENEFIT:
- Lương + KPI Thưởng dự án
- Được tham gia các dự án vận chuyển lớn, đa quốc gia
- Tạo điều kiện, tuân thủ luật lao động cho đội nhóm",14/05/2025,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi > Vận Tải/Giao Nhận Hàng Hóa,Hậu cần/Giao nhận,5,Không giới hạn,25-60,1,09:00 - 18:00,Nhân viên,"Logistics, Quản Lý Dự Án, Quản Lý Đội Ngũ, Vận Chuyển, Vận Tải",Tiếng Anh,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Vận Tải/Giao Nhận Hàng Hóa, Hậu cần/Giao nhận, Logistics, Quản Lý Dự Án, Quản Lý Đội Ngũ, Vận Chuyển, Vận Tải, Công Ty TNHH Cea Projects, Hồ Chí Minh"
Short-Term Economic/ Social Researcher Cum Project Officer,Mekong Economics Ltd,Thương lượng,"9B Yen The Lane, Nguyen Thai Hoc str, Dong Da, Hanoi, 9B Yen The Lane, Nguyen Thai Hoc str, Dong Da, Hanoi","• Master Degree (preferable) or Bachelor Degree in either Research or Economics or Social Studies from a recognized University in Vietnam or overseas
• Capable in conducting research and/or managing socio-economic survey (employing international standard research methodology)
• No working experience is required
• Good in English.
• Good understanding / use of MS Office computer software
• Pro-active and highly responsible.
• Well organized and positive attitude.
• Have a strong team-sprit",14/05/2025,Giáo Dục > Nghiên Cứu Học Thuật,Chính phủ & NGO,Không yêu cầu,Cử nhân,Không hiển thị,Không hiển thị,09:00 - 18:00,Mới Tốt Nghiệp,"Research Methodology, Socio-Economic Surveys, Statistical Software, Research",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Giáo Dục, Nghiên Cứu Học Thuật, Chính phủ & NGO, Research Methodology, Socio-Economic Surveys, Statistical Software, Research, Mekong Economics Ltd, Hà Nội"
Nhân Viên Kinh Doanh Nguyên Liệu Và Phụ Gia Thực Phẩm,VĂN PHÒNG ĐẠI DIỆN TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XUẤT NHẬP KHẨU MALT MINH KIẾN,$ 10tr-50tr /tháng,"Tầng 9 tòa nhà An Phú, 24 Hoàng Quốc Việt, Phường Nghĩa Đô Quận Cầu Giấy, TP Hà Nội, Toà nhà Genpacific, số 1 Tô Ký, phường Tân Chánh Hiệp, quận 12, thành phố Hồ Chí Minh","TIÊU CHUẨN ỨNG VIÊN
- Tuổi từ 25-30
- Tốt nghiệp cao đẳng trở lên,
- Sức khỏe tốt, trung thực, chăm chỉ, có tinh thần trách nhiệm, đam mê kinh doanh.
- Có tối thiểu 02 năm kinh nghiệm kinh doanh.
Ưu tiên các ứng viên
- Có bằng lái xe ô tô B2
- Có khả năng giao tiếp tiếng Trung hoặc tiếng Anh hoặc tiếng Hàn

CHẾ ĐỘ VÀ PHÚC LỢI
- Lương cứng + lương kinh doanh + thưởng hoàn thành kế hoạch: 10tr-50tr/tháng
- Hỗ trợ chi phí điện thoại.
- Thanh toán chi phí công tác ngoại tỉnh.
- Tham gia BHXH, BHYT, BHTN… theo quy định của nhà nước.
- Các chế độ khác theo chính sách của Công ty.",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Nhập khẩu/Xuất khẩu,2,Trung cấp,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,"Kinh Doanh Thực Phẩm, Nghiên Cứu Thị Trường, Chăm Sóc Khách Hàng, Tiếng Trung Giao Tiếp, Lập Kế Hoạch Kinh Doanh",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Nhập khẩu/Xuất khẩu, Kinh Doanh Thực Phẩm, Nghiên Cứu Thị Trường, Chăm Sóc Khách Hàng, Tiếng Trung Giao Tiếp, Lập Kế Hoạch Kinh Doanh, VĂN PHÒNG ĐẠI DIỆN TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XUẤT NHẬP KHẨU MALT MINH KIẾN, Hà Nội, Hồ Chí Minh"
Chuyên Viên Quản Lý Chất Lượng Hồ Sơ Và Hiện Trường,Capital House Group,"$ 1,200-2,000 /tháng","Hà Nội, Việt Nam., Bắc Giang, Bac Giang, Vietnam, Tầng 11-12 Tòa A3, EcoLife Capitol, 58 Tố Hữu, Nam Từ Liêm, Hà Nội","• Tốt nghiệp Đại học trở lên ngành Xây dựng, Quản lý xây dựng, Luật xây dựng hoặc liên quan.
• Tối thiểu 3 năm kinh nghiệm làm việc tại công trường với vai trò QA/QC, giám sát pháp lý, kỹ thuật thi công hoặc tương đương.
• Am hiểu pháp luật xây dựng, quy chuẩn – tiêu chuẩn kỹ thuật, các mốc hồ sơ bắt buộc và quy trình pháp lý thi công – nghiệm thu – hoàn công.
• Kỹ năng giao tiếp, dẫn dắt và truyền đạt rõ ràng. Biết hỗ trợ đúng cách nhưng vẫn giữ vững nguyên tắc.
• Trung thực, hệ thống, tinh thần cải tiến – hợp tác – cứng rắn đúng lúc.

QUYỀN LỢI
• Thu nhập theo năng lực và mức độ đóng góp thực tế.
• Môi trường chuyên nghiệp, đề cao vai trò kiểm soát có tư duy hỗ trợ.
• Cơ hội mở rộng vai trò kiểm soát chất lượng toàn diện, phát triển lên cấp Quản lý theo vùng/dự án.",14/05/2025,Kiến Trúc/Xây Dựng > Quản Lý Dự Án,Bất Động Sản/Cho thuê,3,Cử nhân,Không hiển thị,1,09:00 - 18:00,Nhân viên,"Kiểm Soát Chất Lượng Thi Công, Quản Lý Xây Dựng, Kỹ Thuật Thi Công, Kiểm Soát Chất Lượng Thi Công, Nghiệm Thu Xây Dựng, Nghiên Cứu Thực Địa",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Kiến Trúc/Xây Dựng, Quản Lý Dự Án, Bất Động Sản/Cho thuê, Kiểm Soát Chất Lượng Thi Công, Quản Lý Xây Dựng, Kỹ Thuật Thi Công, Kiểm Soát Chất Lượng Thi Công, Nghiệm Thu Xây Dựng, Nghiên Cứu Thực Địa, Capital House Group, Hà Nội, Bắc Giang"
Kiến Trúc Sư Quy Hoạch,Capital House Group,Thương lượng,"Ha Noi, Bắc Giang, Bac Giang, Vietnam, Tầng 11-12-12A Tòa A3, EcoLife Capitol, 58 Tố Hữu, Nam Từ Liêm, Hà Nội","- Tốt nghiệp Đại học Kiến trúc, Đại học Xây dựng, chuyên ngành Kiến trúc & Quy hoạch
- Tối thiểu 05 năm kinh nghiệm trong lĩnh vực liên quan (ưu tiên các ứng viên có kinh nghiệm kiểm soát thiết kế MEP hạ tầng kỹ thuật; ưu tiên các ứng viên đã từng có kinh nghiệm làm các dự án trên dưới 10 hecta) đã triển khai hoàn chỉnh các dự án của chủ đầu tư, các loại hình dự án: khu đô thị, chung cư , tòa nhà văn phòng cao cấp, khách sạn 5 sao, condotel …
- Đã nghiên cứu và có kinh nghiệm trong linh vực Quy hoạch xanh – Bền vững
- Tư duy tốt, chủ động, tư duy lối sống sạch - xanh, chịu được áp lực công việc, có tinh thần trách nhiệm cao
- Có khả năng làm việc nhóm

❖ CHẾ ĐỘ PHÚC LỢI
1. Lương: Thoả thuận
2. Thưởng: Theo quy định của Công ty.
- Thưởng tháng 13
- Thưởng năm: Căn cứ kết quả kết quả kinh doanh năm
- Thưởng các dịp Lễ Tết
3. Phúc lợi khác:
- Du lịch teambuilding
- Bảo hiểm xã hội, y tế theo luật định.
- Trợ cấp ăn ca, khám sức khỏe định kỳ
- Các dịch vụ ưu đãi khác khi sử dụng dịch vụ của các công ty trong tập đoàn
- Đào tạo nâng cao năng lực theo đặc thù công việc",14/05/2025,Kiến Trúc/Xây Dựng > Thiết Kế & Quy Hoạch Đô Thị,Kỹ thuật xây dựng/Cơ sở hạ tầng,5,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Kiến Trúc Quy Hoạch, MEP Construction, Hạ Tầng Kỹ Thuật, Quy Hoạch Xây Dựng, Quy Hoạch Kiến Trúc",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kiến Trúc/Xây Dựng, Thiết Kế & Quy Hoạch Đô Thị, Kỹ thuật xây dựng/Cơ sở hạ tầng, Kiến Trúc Quy Hoạch, MEP Construction, Hạ Tầng Kỹ Thuật, Quy Hoạch Xây Dựng, Quy Hoạch Kiến Trúc, Capital House Group, Hà Nội, Bắc Giang"
[Hanoi] Organization Development Executive,Công Ty TNHH Aeon Việt Nam,Thương lượng,"AEON Long Bien, 27 Co Linh, Long Bien, Hanoi, 30 Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh","- University degree.
- Minimum 03 years of training experience.
- Good knowledge of spoken and written English.
- Computer literate: Word, Excel, PowerPoint, Outlook and Internet.
- Strong communication skills, especially public speaking and presentation.
- Organization skill, adaptability.
- Positive thinking and humble.

Preferred skills:
- Good problem solving skill.
- Strong time management and teamwork skills.
- Have a polite, tactful and friendly attitude.
- Good analytical skills.

Benefits:
- 13-month salary
- Performance bonus
- Transportation allowance
- Premium Healthcare
- Full salary social insurance
- Meal at canteen
- 13 days annual leaves
- Many opportunities for development
- Training and learning development",14/05/2025,Nhân Sự/Tuyển Dụng > Đào Tạo Và Phát Triển,Bán lẻ/Bán sỉ,3,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"Organization Development, L&D training, Training, Đào Tạo Và Xây Dựng Văn Hoá",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Đào Tạo Và Phát Triển, Bán lẻ/Bán sỉ, Organization Development, L&D training, Training, Đào Tạo Và Xây Dựng Văn Hoá, Công Ty TNHH Aeon Việt Nam, Hà Nội"
[Urgent] Chuyên viên Thiết Kế Đồ Họa,Công Ty Cổ Phần Xi Măng Xuân Thành,Thương lượng,"Công ty cổ phần xi măng Xuân Thành, Tầng 2, tòa R2 Khu đô thị Royal City, 72A Nguyễn Trãi, Thanh Xuân, Hà Nội., Công ty cổ phần xi măng Xuân Thành Hà Nam, Thôn Bồng Lạng Thanh Nghị Thanh Liêm – Hà Nam., Thôn Bồng Lạng, Xã Thanh Nghị, Huyện Thanh Liêm, Tỉnh Hà Nam","• Tốt nghiệp các ngành: Thiết kế đồ họa, Mỹ thuật công nghiệp, Marketing, Truyền thông, hoặc ngành liên quan.
• Có từ 1 – 3 năm kinh nghiệm thiết kế thương hiệu, sản phẩm, ưu tiên ứng viên từng làm trong lĩnh vực FMCG, công nghiệp, vật liệu xây dựng.
• Sử dụng thành thạo các phần mềm thiết kế: Adobe Photoshop, Illustrator, InDesign, After Effects (cơ bản)...
• Có gu thẩm mỹ tốt, sáng tạo, bắt trend nhanh và có tư duy xây dựng thương hiệu.
• Kỹ năng làm việc nhóm, chủ động phối hợp, có tinh thần trách nhiệm cao.
• Ưu tiên ứng viên có portfolio dự án thực tế hoặc từng triển khai thiết kế thương hiệu/bộ nhận diện sản phẩm.",14/05/2025,Thiết Kế > Thiết Kế Đồ Họa,Vật liệu xây dựng,1,Cử nhân,24-40,1,08:00 - 17:00,Nhân viên,"Thiết Kế Đồ Họa, Adobe Photoshop, illustrator, InDesign, Kỹ năng làm việc nhóm, Kỹ năng làm việc nhóm, Kỹ năng làm việc nhóm",Tiếng Việt,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Thiết Kế, Thiết Kế Đồ Họa, Vật liệu xây dựng, Thiết Kế Đồ Họa, Adobe Photoshop, illustrator, InDesign, Kỹ năng làm việc nhóm, Kỹ năng làm việc nhóm, Kỹ năng làm việc nhóm, Công Ty Cổ Phần Xi Măng Xuân Thành, Hà Nội, Hà Nam"
Kỹ Sư/ Cử Nhân Địa Vật Lý/Địa Chất,Công Ty EGS (Việt Nam),Thương lượng,"Tầng 7, Tòa nhà CEO, Lô HH2-1, KĐT mới Mễ Trì Hạ, Phạm Hùng, Mễ Trì, Nam Từ Liêm, Hà Nội, Tầng 5, silver sea tower, số 47, đường Ba Cu, Phường 1, Tp Vũng Tàu, Tầng 7, Tòa nhà CEO, Lô HH2-1, Khu đô thị mới Mễ Trì Hạ, Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","• Tốt nghiệp các chuyên ngành liên quan
• Tiếng Anh: có khả năng giao tiếp và đọc hiểu tài liệu chuyên ngành.
• Sử dụng thành thạo CAD, MS Office và các phần mềm chuyên ngành là một lợi thế
• Năng động, nhiệt tình, có trách nhiệm trong công việc.
• Không say sóng, ô tô, máy bay.

*Hồ sơ gồm:
- CV & Thư xin việc– Tiếng Việt và Tiếng Anh, ghi rõ ứng tuyển cho Văn phòng Hà Nội hay Văn phòng Vũng Tàu
- Bản scan các bằng cấp (bằng tốt nghiệp, bảng điểm, các chứng chỉ khác....) có liên quan.",14/05/2025,Kiến Trúc/Xây Dựng > Xây Dựng,Kỹ thuật xây dựng/Cơ sở hạ tầng,Không yêu cầu,Cử nhân,Không hiển thị,1,9:00 - 18:00,Mới Tốt Nghiệp,"CAD, Thăm Dò Địa Chất, Vật Lý, Địa Chất, Địa Chất Công Trình",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Kiến Trúc/Xây Dựng, Xây Dựng, Kỹ thuật xây dựng/Cơ sở hạ tầng, CAD, Thăm Dò Địa Chất, Vật Lý, Địa Chất, Địa Chất Công Trình, Công Ty EGS (Việt Nam), Hà Nội, Bà Rịa - Vũng Tàu"
Nhân Viên Chăm Sóc Khách Hàng Ngành Logistics,"SITC LOGISTICS VIETNAM CO .,Ltd.",Thương lượng,"Phòng 420A, TD-Business Center, Lô 20A, đường Lê Hồng Phong, Phường Đông Khê, Quận Ngô Quyền, Thành phố Hải Phòng, Rm 420A, TD Business Center, Lot 20A ,Le Hong Phong , Hai Phong , Viet Nam","• Tốt nghiệp Đại học ngành kinh tế ngoại thương, vận tải biển.
• Tiếng trung nghe nói đọc viết tốt.
• Kinh nghiệm làm Cus Logistics 2 năm trở lên.
• Kỹ năng giao tiếp, tổ chức công việc, giải quyết vấn đề tốt, xác định gắn bó lâu dài với công ty..
Lương thưởng, chế độ đãi ngộ:
- Lương thưởng cao, thỏa thuận trực tiếp với Tổng giám đốc.",14/05/2025,Dịch Vụ Khách Hàng > Dịch Vụ Khách Hàng,Hậu cần/Giao nhận,2,Cử nhân,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,"Quản Lý Hoạt Động Xuất Nhập Khẩu, Tiếng Trung, Shipping Logistics, Chăm Sóc Khách Hàng, Xuất nhập khẩu",Tiếng Việt,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Dịch Vụ Khách Hàng, Dịch Vụ Khách Hàng, Hậu cần/Giao nhận, Quản Lý Hoạt Động Xuất Nhập Khẩu, Tiếng Trung, Shipping Logistics, Chăm Sóc Khách Hàng, Xuất nhập khẩu, SITC LOGISTICS VIETNAM CO .,Ltd., Hải Phòng"
Senior Product Operations Executive / Chuyên Viên Vận Hành Sản Phẩm,CÔNG TY TNHH FUSE ONLINE,Thương lượng,"22nd floor, TNR Tower, 180-192 Nguyen Cong Tru street, Nguyen Thai Binh ward, District 1, Ho Chi Minh City., Tầng 10, Rox Tower, 180-192 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, TP.HCM","● Bachelor’s degree in Information Technology or a related field./ Tốt nghiệp đại học chuyên ngành Công nghệ Thông tin hoặc lĩnh vực liên quan.

● At least 5 years of experience in system operation support, UAT testing, or a related role in the IT/insurance sector./ Ít nhất 5 năm kinh nghiệm trong lĩnh vực hỗ trợ vận hành hệ thống, kiểm thử UAT hoặc vai trò liên quan trong ngành CNTT/bảo hiểm.

● Basic insurance industry knowledge is an advantage./ Kiến thức cơ bản về ngành bảo hiểm là một lợi thế.

● Strong analytical skills with experience using tools such as Excel or Google Sheets./ Kỹ năng phân tích mạnh mẽ với kinh nghiệm sử dụng các công cụ như Excel hoặc Google Sheets.

● Good communication skills, including basic English (reading/writing, passive verbal communication)./ Kỹ năng giao tiếp tốt, bao gồm tiếng Anh cơ bản (đọc/viết, giao tiếp nói thụ động

● Logical thinker with strong attention to detail, able to work independently and in a collaborative team environment./ Người tư duy logic, chú ý đến chi tiết, có khả năng làm việc độc lập và làm việc nhóm hiệu quả.

● Ability to write documentation (user guides, process workflows) and troubleshoot issues effectively./ Khả năng viết tài liệu (hướng dẫn người dùng, quy trình công việc) và khắc phục sự cố hiệu quả.

● Positive and proactive attitude, willing to learn, open to feedback, and able to adapt to a fast-paced startup environment./ Thái độ tích cực và chủ động, sẵn sàng học hỏi, cởi mở với phản hồi và có khả năng thích nghi với môi trường startup năng động.

BENEFITS:
● 100% probation salary./ Lương thử việc 100%
● 12 annual leave days./ 12 ngày phép năm
● 13th month bonus as per the company’s policy./ Thưởng tháng thứ 13 theo chính sách của công ty
● Extra health insurance package./ Gói bảo hiểm sức khỏe bổ sung
● Annual salary review./ Xem xét lương hàng năm
● Quarterly bonus, performance bonus according to the business result and employee performance./ Thưởng quý, thưởng hiệu suất theo kết quả kinh doanh và hiệu quả công việc của nhân viên",14/05/2025,Công Nghệ Thông Tin/Viễn Thông > IT Support/Help Desk,Bảo hiểm,5,Cử nhân,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,"Excel, Information Technology, Insurance Industry Knowledge, System Operation, UAT Testing",Tiếng Anh,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, IT Support/Help Desk, Bảo hiểm, Excel, Information Technology, Insurance Industry Knowledge, System Operation, UAT Testing, CÔNG TY TNHH FUSE ONLINE, Hồ Chí Minh"
